Date,Open,High,Low,Close
01-01-2019,3746.713379,3850.913818,3707.231201,3843.52002
02-01-2019,3849.216309,3947.981201,3817.409424,3943.409424
03-01-2019,3931.048584,3935.685059,3826.2229,3836.741211
04-01-2019,3832.040039,3865.93457,3783.85376,3857.717529
05-01-2019,3851.973877,3904.903076,3836.900146,3845.19458
06-01-2019,3836.519043,4093.297363,3826.513184,4076.632568
07-01-2019,4078.584961,4092.613525,4020.894043,4025.248291
08-01-2019,4028.472168,4109.020996,3996.955322,4030.8479
09-01-2019,4031.552002,4068.403564,4022.662842,4035.296387
10-01-2019,4034.411377,4064.06665,3659.174561,3678.924561
11-01-2019,3674.015381,3713.881836,3653.069824,3687.365479
12-01-2019,3686.973145,3698.978271,3653.810791,3661.301025
13-01-2019,3658.868164,3674.76001,3544.927246,3552.953125
14-01-2019,3557.311035,3727.836182,3552.285156,3706.052246
15-01-2019,3704.216309,3720.15332,3619.949219,3630.675293
16-01-2019,3631.509766,3685.7771,3624.67334,3655.006836
17-01-2019,3651.871094,3680.135986,3621.960938,3678.563965
18-01-2019,3677.990479,3682.52002,3637.080811,3657.839355
19-01-2019,3652.37793,3758.533447,3652.37793,3728.568359
20-01-2019,3725.446045,3743.387939,3583.019531,3601.013672
21-01-2019,3600.372803,3608.84082,3558.537109,3576.032471
22-01-2019,3575.081299,3620.746582,3539.721436,3604.577148
23-01-2019,3605.557129,3623.067871,3565.313965,3585.123047
24-01-2019,3584.500244,3616.087402,3569.092773,3600.865479
25-01-2019,3607.390381,3612.927734,3575.597412,3599.765869
26-01-2019,3599.715332,3654.933105,3593.345947,3602.460449
27-01-2019,3604.687256,3612.671387,3567.24585,3583.96582
28-01-2019,3584.283203,3586.750977,3439.23291,3470.450439
29-01-2019,3468.870117,3476.06543,3400.819824,3448.116943
30-01-2019,3443.896973,3495.174805,3429.387939,3486.181641
31-01-2019,3485.40918,3504.804932,3447.915771,3457.792725
01-02-2019,3460.547119,3501.954102,3431.591553,3487.945313
02-02-2019,3484.625977,3523.287354,3467.574707,3521.060791
03-02-2019,3516.139648,3521.388184,3447.924316,3464.013428
04-02-2019,3467.21167,3476.223877,3442.586914,3459.154053
05-02-2019,3454.950928,3478.148193,3451.937012,3466.357422
06-02-2019,3469.091797,3469.091797,3398.56543,3413.767822
07-02-2019,3414.929443,3427.945557,3394.218506,3399.47168
08-02-2019,3401.376465,3695.614014,3391.023682,3666.780273
09-02-2019,3671.585938,3679.941406,3646.559326,3671.203613
10-02-2019,3673.201416,3695.036133,3640.97998,3690.188232
11-02-2019,3695.613037,3695.613037,3642.287842,3648.430664
12-02-2019,3642.751953,3668.586914,3618.556885,3653.528564
13-02-2019,3653.604004,3669.746582,3617.246338,3632.070557
14-02-2019,3631.170166,3646.256592,3607.697754,3616.880859
15-02-2019,3617.368408,3647.795166,3608.206543,3620.810791
16-02-2019,3615.270264,3652.841309,3615.270264,3629.787598
17-02-2019,3633.359375,3680.537354,3619.182129,3673.836182
18-02-2019,3671.369873,3936.665039,3669.982422,3915.714355
19-02-2019,3911.661621,4010.879395,3908.153076,3947.094482
20-02-2019,3946.685059,4000.486328,3926.246826,3999.820557
21-02-2019,4000.256836,4010.009521,3940.108154,3954.118164
22-02-2019,3952.406494,4006.53833,3950.816406,4005.526611
23-02-2019,3998.91626,4166.286133,3968.726807,4142.526855
24-02-2019,4145.458008,4210.641602,3793.708984,3810.42749
25-02-2019,3807.002441,3913.707275,3807.002441,3882.696289
26-02-2019,3878.697266,3891.578857,3837.986328,3854.35791
27-02-2019,3857.479736,3888.80249,3787.058838,3851.047363
28-02-2019,3848.261963,3906.05835,3845.821289,3854.7854
01-03-2019,3853.75708,3907.79541,3851.692383,3859.58374
02-03-2019,3855.318115,3874.607422,3832.12793,3864.415039
03-03-2019,3862.266113,3875.483643,3836.905762,3847.175781
04-03-2019,3845.091553,3867.381836,3733.749756,3761.557129
05-03-2019,3759.83252,3903.916748,3745.183105,3896.375
06-03-2019,3897.081055,3919.510498,3871.460693,3903.942627
07-03-2019,3903.384766,3939.373291,3894.113037,3911.484375
08-03-2019,3913.22583,3950.432129,3875.228516,3901.131592
09-03-2019,3894.55249,3987.237793,3892.390381,3963.313721
10-03-2019,3966.174316,3966.174316,3924.381104,3951.599854
11-03-2019,3953.740234,3966.384766,3889.239014,3905.227295
12-03-2019,3903.758301,3926.88916,3863.559082,3909.15625
13-03-2019,3913.047363,3926.597656,3891.904297,3906.717285
14-03-2019,3905.576904,3946.504395,3901.296875,3924.369141
15-03-2019,3926.66333,3968.542969,3914.015381,3960.911133
16-03-2019,3963.900146,4077.036377,3961.657471,4048.72583
17-03-2019,4047.719482,4054.12207,4006.411133,4025.229004
18-03-2019,4029.968506,4071.556641,4009.117188,4032.507324
19-03-2019,4032.691895,4082.216064,4023.8125,4071.190186
20-03-2019,4070.793945,4089.461914,4031.11084,4087.476318
21-03-2019,4083.953857,4097.359863,4005.151367,4029.326904
22-03-2019,4028.514648,4053.906738,4021.54248,4023.968262
23-03-2019,4022.713379,4049.882568,4015.9646,4035.826416
24-03-2019,4035.163574,4040.699707,4006.192871,4022.168213
25-03-2019,4024.112793,4038.84082,3934.03125,3963.070557
26-03-2019,3969.22876,3985.080811,3944.753174,3985.080811
27-03-2019,3984.244873,4087.066162,3977.810547,4087.066162
28-03-2019,4087.584473,4094.9021,4040.266357,4069.107178
29-03-2019,4068.299805,4113.500977,4034.097168,4098.374512
30-03-2019,4092.13623,4296.806641,4053.909668,4106.660156
31-03-2019,4105.456055,4113.023438,4094.10083,4105.404297
01-04-2019,4105.362305,4164.953125,4096.901367,4158.183105
02-04-2019,4156.919434,4905.95459,4155.316895,4879.87793
03-04-2019,4879.958008,5307.003418,4876.621094,4973.021973
04-04-2019,4971.307617,5063.159668,4836.793945,4922.798828
05-04-2019,4922.806152,5053.509766,4919.491699,5036.681152
06-04-2019,5036.792969,5205.821777,4992.222168,5059.817383
07-04-2019,5062.793945,5235.186523,5050.412109,5198.896973
08-04-2019,5199.835449,5318.836426,5148.211914,5289.770996
09-04-2019,5289.917969,5289.917969,5167.418945,5204.958496
10-04-2019,5204.105469,5421.651367,5193.382324,5324.551758
11-04-2019,5325.081543,5354.225586,5017.296387,5064.487793
12-04-2019,5061.200684,5103.274414,4955.852539,5089.539063
13-04-2019,5088.850098,5127.12207,5061.589355,5096.586426
14-04-2019,5095.758789,5184.016113,5053.568359,5167.722168
15-04-2019,5167.321777,5196.606934,5024.069336,5067.108398
16-04-2019,5066.577637,5238.945313,5055.194824,5235.55957
17-04-2019,5236.135254,5274.275391,5219.205566,5251.937988
18-04-2019,5251.480469,5319.986328,5250.506836,5298.385742
19-04-2019,5298.154297,5336.680176,5233.334961,5303.8125
20-04-2019,5304.160645,5358.490723,5295.87793,5337.88623
21-04-2019,5335.878906,5359.924805,5257.339355,5314.53125
22-04-2019,5312.494629,5422.6875,5280.276855,5399.365234
23-04-2019,5399.365723,5633.802246,5389.408691,5572.362305
24-04-2019,5571.508301,5642.044434,5418.263184,5464.866699
25-04-2019,5466.524414,5542.238281,5181.338867,5210.515625
26-04-2019,5210.304688,5383.634277,5177.368652,5279.348145
27-04-2019,5279.471191,5310.75,5233.635742,5268.291016
28-04-2019,5271.746582,5326.231934,5255.683594,5285.13916
